1,Villa,31.0,19,10,9,vip,10.0,10,3
2,Villa,31.0,9,10,vip,vip,10.0,10,4
3,Villa,31.0,19,10,9,vip,10.0,10,2
4,Villa,31.0,19,10,9,vip,10.0,10,4
5,Villa,31.0,9,10,vip,vip,10.0,10,51,Villa,31.0,19,10,9,vip,10.0,10,3
1,Villa,31.0,19,10,9,vip,10.0,10,3
2,Villa,31.0,9,10,vip,vip,10.0,10,4
1,Villa,31.0,19,10,9,vip,10.0,10,3
2,Villa,31.0,9,10,vip,vip,10.0,10,4
3,Villa,31.0,19,10,9,vip,10.0,10,3
1,Villa,31.0,19,10,9,vip,10.0,10,3
2,Villa,31.0,9,10,vip,vip,10.0,10,4
3,Villa,31.0,19,10,9,vip,10.0,10,3
4,Villa,31.0,19,10,9,vip,10.0,10,4
1,Villa,31.0,19,10,9,vip,10.0,10,3
2,Villa,31.0,9,10,vip,vip,10.0,10,4
3,Villa,31.0,19,10,9,vip,10.0,10,3
4,Villa,31.0,19,10,9,vip,10.0,10,4
5,Villa,31.0,9,10,vip,vip,10.0,10,5
1,Villa,31.0,19,10,9,vip,10.0,10,4
1,Villa,31.0,19,10,9,vip,10.0,10,4
2,Villa,31.0,9,10,vip,vip,10.0,10,4
1,Villa,31.0,19,10,9,vip,10.0,10,4
2,Villa,31.0,9,10,vip,vip,10.0,10,4
3,Villa,31.0,19,10,9,vip,10.0,10,3
1,Villa,31.0,19,10,9,vip,10.0,10,4
2,Villa,31.0,9,10,vip,vip,10.0,10,4
3,Villa,31.0,19,10,9,vip,10.0,10,3
4,Villa,31.0,19,10,9,vip,10.0,10,4
1,Villa,31.0,19,10,9,vip,10.0,10,4
2,Villa,31.0,9,10,vip,vip,10.0,10,4
3,Villa,31.0,19,10,9,vip,10.0,10,3
4,Villa,31.0,19,10,9,vip,10.0,10,4
5,Villa,31.0,9,10,vip,vip,10.0,10,5
1,Villa,31.0,19,10,9,vip,10.0,10,5
1,Villa,31.0,19,10,9,vip,10.0,10,5
2,Villa,31.0,9,10,vip,vip,10.0,10,4
1,Villa,31.0,19,10,9,vip,10.0,10,5
2,Villa,31.0,9,10,vip,vip,10.0,10,4
3,Villa,31.0,19,10,9,vip,10.0,10,3
1,Villa,31.0,19,10,9,vip,10.0,10,5
2,Villa,31.0,9,10,vip,vip,10.0,10,4
3,Villa,31.0,19,10,9,vip,10.0,10,3
4,Villa,31.0,19,10,9,vip,10.0,10,4
1,Villa,31.0,19,10,9,vip,10.0,10,5
2,Villa,31.0,9,10,vip,vip,10.0,10,4
3,Villa,31.0,19,10,9,vip,10.0,10,3
4,Villa,31.0,19,10,9,vip,10.0,10,4
5,Villa,31.0,9,10,vip,vip,10.0,10,5
1,Villa,31.0,19,10,9,vip,10.0,10,5
1,Villa,31.0,19,10,9,vip,10.0,10,5
2,Villa,31.0,9,10,vip,vip,10.0,10,5
1,Villa,31.0,19,10,9,vip,10.0,10,5
2,Villa,31.0,9,10,vip,vip,10.0,10,5
3,Villa,31.0,19,10,9,vip,10.0,10,3
1,Villa,31.0,19,10,9,vip,10.0,10,5
2,Villa,31.0,9,10,vip,vip,10.0,10,5
3,Villa,31.0,19,10,9,vip,10.0,10,3
4,Villa,31.0,19,10,9,vip,10.0,10,4
1,Villa,31.0,19,10,9,vip,10.0,10,5
2,Villa,31.0,9,10,vip,vip,10.0,10,5
3,Villa,31.0,19,10,9,vip,10.0,10,3
4,Villa,31.0,19,10,9,vip,10.0,10,4
5,Villa,31.0,9,10,vip,vip,10.0,10,5
